,carrier,p_nom,year_removed,retrofit,bus
DE0 27 ror,ror,0.118,2057,1957.0,DE0 27
DE0 13 ror,ror,0.055,2057,1957.0,DE0 13
DE0 22 ror,ror,0.048,2057,1957.0,DE0 22
DE0 72 ror,ror,0.25,2057,1957.0,DE0 72
DE0 13 ror,ror,0.045,2057,1957.0,DE0 13
DE0 D4 ror,ror,0.75,2057,1957.0,DE0 D4
DE0 A5 ror,ror,0.06,2057,1957.0,DE0 A5
DE0 23 ror,ror,0.06,2057,1957.0,DE0 23
DE0 D4 ror,ror,0.47,2057,1957.0,DE0 D4
DE0 22 ror,ror,0.185,2057,1957.0,DE0 22
DE0 22 ror,ror,0.228,2057,1957.0,DE0 22
DE0 25 ror,ror,0.033,2057,1957.0,DE0 25
DE0 23 ror,ror,0.04,2057,1957.0,DE0 23
DE0 24 ror,ror,2.76,2057,1957.0,DE0 24
DE0 13 ror,ror,0.045,2057,1957.0,DE0 13
DE0 D4 ror,ror,0.08,2057,1957.0,DE0 D4
DE0 14 ror,ror,0.075,2057,1957.0,DE0 14
DE0 A5 ror,ror,0.132,2057,1957.0,DE0 A5
DE0 27 ror,ror,0.746,2057,1957.0,DE0 27
DE0 23 ror,ror,0.1,2057,1957.0,DE0 23
DE0 14 ror,ror,0.048,2057,1957.0,DE0 14
DE0 14 ror,ror,0.035,2057,1957.0,DE0 14
DE0 23 ror,ror,0.078,2057,1957.0,DE0 23
DE0 22 ror,ror,0.045,2057,1957.0,DE0 22
DE0 22 ror,ror,0.056,2057,1957.0,DE0 22
DE0 13 ror,ror,0.08,2057,1957.0,DE0 13
DE0 40 ror,ror,0.215,2057,1957.0,DE0 40
DE0 11 ror,ror,0.037,2057,1957.0,DE0 11
DE0 27 ror,ror,0.08,2057,1957.0,DE0 27
DE0 92 ror,ror,0.13,2057,1957.0,DE0 92
DE0 24 ror,ror,0.16,2057,1957.0,DE0 24
DE0 21 ror,ror,0.21,2057,1957.0,DE0 21
DE0 13 ror,ror,0.037,2057,1957.0,DE0 13
DE0 26 ror,ror,0.11,2057,1957.0,DE0 26
DE0 23 ror,ror,0.15,2057,1957.0,DE0 23
DE0 A1 ror,ror,0.15,2057,1957.0,DE0 A1
DE0 G0 ror,ror,0.05,2057,1957.0,DE0 G0
DE0 14 ror,ror,0.22,2057,1957.0,DE0 14
DE0 13 ror,ror,0.037,2057,1957.0,DE0 13
DE0 24 ror,ror,0.066,2057,1957.0,DE0 24
DE0 A5 ror,ror,1.5,2057,1957.0,DE0 A5
DE0 80 ror,ror,0.16,2057,1957.0,DE0 80
DE0 D4 ror,ror,0.468,2057,1957.0,DE0 D4
DE0 23 ror,ror,0.033,2057,1957.0,DE0 23
DE0 24 ror,ror,0.095,2057,1957.0,DE0 24
DE0 72 ror,ror,0.115,2057,1957.0,DE0 72
DE0 11 ror,ror,0.09,2057,1957.0,DE0 11
